_SKIP_,,Elefante marino del sur,Lobo marino de un pelo,Lobo marino de 2 pelos,Ballena franca austral,Ballena jorobada,Cachalote,Franciscana,Marsopa espinosa,Marsopa de anteojos,Delfin comun,Delfín nariz de botella,Delfin oscuro,Orca,Falsa orca,Tonina overa
Extremidades posteriores como aletas,"Menos de 2,3 m de largo",,,1,,,,,,,,,,,,
,Más de 3 m de largo,1,,,,,,,,,,,,,,
Aleta caudal o cola,"Menos de 2,3 m de largo",,,,,,,1,1,1,,,1,,,1
,Más de 3 m de largo,,,,1,1,1,,,,,1,,1,1,
,Con barbas,,,,,,,,,,,,,,,
,Cuerpo totalmente negro,,,,1,1,,,,,,,,,,
,Cuerpo blanco y negro,,,,,,,,1,,,,,,1,
,Aleta dorsal presente,,,,,,,,,1,,,,1,,1
,"Hocico muy fino, color uniforme",,,,,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,1,,,,,,,,